t,x,y,r,θr
2.436,36.51,7.835,37.35,12.11
2.470,36.64,7.031,37.31,10.86
2.503,36.80,6.030,37.29,9.305
2.536,36.95,4.849,37.27,7.476
2.570,37.08,3.538,37.24,5.451
2.603,37.17,2.108,37.23,3.246
2.636,37.20,0.629,37.21,0.969
2.670,37.20,-0.830,37.21,-1.278
2.703,37.13,-2.287,37.20,-3.525
2.737,37.03,-3.675,37.21,-5.668
2.770,36.87,-4.948,37.20,-7.645
2.803,36.69,-6.077,37.19,-9.406
2.837,36.51,-7.016,37.18,-10.88
2.870,36.35,-7.752,37.17,-12.04
2.903,36.25,-8.254,37.18,-12.83
2.937,36.20,-8.530,37.19,-13.26
2.970,36.18,-8.577,37.19,-13.34
3.004,36.25,-8.377,37.20,-13.01
3.037,36.34,-7.935,37.19,-12.32
3.070,36.49,-7.276,37.21,-11.28
3.104,36.66,-6.404,37.22,-9.907
3.137,36.84,-5.351,37.23,-8.264
3.170,37.01,-4.139,37.24,-6.381
3.204,37.16,-2.805,37.26,-4.318
3.237,37.25,-1.372,37.28,-2.109
3.271,37.30,7.017E-2,37.30,0.108
3.304,37.26,1.541,37.29,2.368
3.337,37.19,2.967,37.31,4.562
3.371,37.07,4.302,37.32,6.620
3.404,36.91,5.514,37.32,8.498
3.437,36.75,6.555,37.33,10.11
3.471,36.61,7.418,37.35,11.46
3.504,36.48,8.063,37.36,12.46
3.538,36.38,8.494,37.36,13.14
3.571,36.32,8.670,37.34,13.42
3.604,36.34,8.610,37.34,13.33
3.638,36.41,8.310,37.35,12.86
3.671,36.51,7.783,37.33,12.03
3.704,36.65,7.030,37.32,10.86
3.738,36.81,6.083,37.31,9.384
3.771,36.96,4.954,37.30,7.633
3.805,37.10,3.689,37.28,5.679
3.838,37.20,2.300,37.27,3.538
3.871,37.24,0.843,37.25,1.297
3.905,37.23,-0.613,37.24,-0.943
3.938,37.17,-2.050,37.22,-3.157
3.971,37.05,-3.439,37.20,-5.303
4.005,36.89,-4.716,37.19,-7.286
4.038,36.72,-5.851,37.18,-9.053
4.072,36.55,-6.813,37.18,-10.56
4.105,36.39,-7.580,37.17,-11.77
4.138,36.28,-8.127,37.18,-12.63
4.172,36.21,-8.434,37.18,-13.11
4.205,36.19,-8.515,37.18,-13.24
4.238,36.23,-8.355,37.18,-12.99
4.272,36.33,-7.954,37.19,-12.35
4.305,36.46,-7.339,37.19,-11.38
4.338,36.64,-6.507,37.21,-10.07
4.372,36.81,-5.485,37.22,-8.475
4.405,36.98,-4.310,37.23,-6.647
4.439,37.13,-3.007,37.25,-4.631
4.472,37.22,-1.599,37.26,-2.460
4.505,37.27,-0.167,37.27,-0.257
4.539,37.26,1.271,37.28,1.953
4.572,37.20,2.691,37.30,4.138
4.605,37.10,4.025,37.32,6.192
4.639,36.96,5.240,37.33,8.070
4.672,36.81,6.305,37.34,9.720
4.706,36.66,7.187,37.36,11.09
4.739,36.52,7.855,37.36,12.14
4.772,36.43,8.312,37.37,12.85
4.806,36.38,8.535,37.37,13.20
4.839,36.39,8.523,37.37,13.18
4.872,36.43,8.262,37.35,12.78
4.906,36.52,7.775,37.34,12.02
4.939,36.65,7.068,37.33,10.91
4.973,36.79,6.167,37.30,9.516
5.006,36.96,5.077,37.30,7.823
5.039,37.09,3.846,37.29,5.921
5.073,37.20,2.498,37.28,3.842
5.106,37.24,1.071,37.26,1.647
5.139,37.24,-0.362,37.24,-0.557
5.173,37.17,-1.786,37.22,-2.750
5.206,37.07,-3.178,37.21,-4.900
5.240,36.94,-4.448,37.21,-6.866
5.273,36.77,-5.593,37.20,-8.649
5.306,36.59,-6.574,37.18,-10.18
5.340,36.43,-7.350,37.16,-11.41
5.373,36.32,-7.928,37.17,-12.31
5.406,36.26,-8.283,37.19,-12.87
5.440,36.23,-8.404,37.19,-13.06
5.473,36.25,-8.281,37.19,-12.87
5.507,36.33,-7.933,37.19,-12.32
5.540,36.48,-7.357,37.21,-11.40
5.573,36.65,-6.563,37.24,-10.15
5.607,36.80,-5.585,37.23,-8.629
