t,x,y,r,θr
0.834,36.34,3.188,36.48,5.013
0.868,36.37,2.643,36.47,4.155
0.901,36.42,2.019,36.48,3.172
0.934,36.46,1.325,36.49,2.081
0.968,36.49,0.586,36.50,0.920
1.001,36.51,-0.170,36.51,-0.266
1.035,36.51,-0.905,36.52,-1.419
1.068,36.49,-1.645,36.53,-2.582
1.101,36.45,-2.324,36.52,-3.649
1.135,36.41,-2.973,36.53,-4.669
1.168,36.36,-3.522,36.53,-5.532
1.201,36.32,-3.978,36.53,-6.252
1.235,36.28,-4.327,36.54,-6.801
1.268,36.25,-4.549,36.54,-7.153
1.302,36.24,-4.646,36.53,-7.306
1.335,36.24,-4.619,36.53,-7.264
1.368,36.25,-4.470,36.53,-7.029
1.402,36.28,-4.198,36.52,-6.601
1.435,36.32,-3.811,36.52,-5.989
1.468,36.37,-3.326,36.52,-5.225
1.502,36.42,-2.746,36.52,-4.311
1.535,36.46,-2.088,36.52,-3.278
1.569,36.49,-1.392,36.52,-2.184
1.602,36.52,-0.668,36.53,-1.047
1.635,36.54,5.570E-2,36.54,8.734E-2
1.669,36.53,0.788,36.54,1.236
1.702,36.50,1.500,36.53,2.352
1.735,36.49,2.152,36.55,3.375
1.769,36.45,2.733,36.55,4.288
1.802,36.41,3.225,36.55,5.062
1.835,36.38,3.624,36.56,5.689
1.869,36.33,3.898,36.54,6.125
1.902,36.32,4.057,36.54,6.374
1.936,36.29,4.064,36.52,6.390
1.969,36.30,3.979,36.52,6.256
2.002,36.28,3.749,36.47,5.900
2.036,36.31,3.431,36.48,5.397
2.069,36.32,2.971,36.44,4.677
2.102,36.36,2.443,36.44,3.844
2.136,36.34,1.798,36.38,2.832
2.169,36.36,1.129,36.37,1.779
2.203,36.37,0.408,36.37,0.643
2.236,36.51,-0.239,36.51,-0.375
2.269,36.52,-0.970,36.53,-1.521
2.303,36.49,-1.684,36.52,-2.643
2.336,36.46,-2.364,36.53,-3.710
2.369,36.42,-2.990,36.54,-4.693
2.403,36.37,-3.528,36.54,-5.541
2.436,36.31,-3.964,36.53,-6.230
2.470,36.27,-4.295,36.52,-6.753
2.503,36.25,-4.512,36.53,-7.094
2.536,36.24,-4.606,36.54,-7.243
2.570,36.24,-4.575,36.53,-7.196
2.603,36.25,-4.421,36.52,-6.953
2.636,36.29,-4.152,36.53,-6.528
2.670,36.34,-3.779,36.54,-5.937
2.703,36.39,-3.297,36.54,-5.177
2.737,36.42,-2.732,36.52,-4.290
2.770,36.44,-2.091,36.50,-3.284
2.803,36.48,-1.407,36.51,-2.209
2.837,36.53,-0.692,36.54,-1.084
2.870,36.53,2.291E-2,36.53,3.593E-2
2.903,36.50,0.731,36.50,1.148
2.937,36.47,1.425,36.50,2.237
2.970,36.45,2.065,36.51,3.243
3.004,36.43,2.638,36.53,4.141
3.037,36.41,3.126,36.54,4.908
3.070,36.35,3.511,36.52,5.518
3.104,36.31,3.795,36.51,5.967
3.137,36.30,3.949,36.51,6.209
3.170,36.31,3.984,36.53,6.261
3.204,36.31,3.906,36.52,6.140
3.237,36.33,3.698,36.52,5.812
3.271,36.36,3.382,36.52,5.314
3.304,36.41,2.955,36.53,4.641
3.337,36.46,2.436,36.54,3.823
3.371,36.49,1.835,36.53,2.879
3.404,36.50,1.182,36.52,1.855
3.437,36.51,0.473,36.51,0.742
3.471,36.53,-0.250,36.53,-0.392
3.504,36.52,-0.955,36.53,-1.499
3.537,36.50,-1.656,36.54,-2.598
3.571,36.47,-2.318,36.55,-3.637
3.604,36.43,-2.934,36.55,-4.604
3.638,36.39,-3.457,36.55,-5.427
3.671,36.34,-3.894,36.55,-6.116
3.704,36.31,-4.218,36.56,-6.626
3.738,36.29,-4.433,36.56,-6.963
3.771,36.27,-4.521,36.55,-7.104
3.804,36.28,-4.493,36.55,-7.061
3.838,36.30,-4.355,36.56,-6.841
3.871,36.32,-4.086,36.55,-6.419
3.905,36.36,-3.709,36.55,-5.824
3.938,36.40,-3.239,36.54,-5.086
3.971,36.44,-2.680,36.54,-4.207
4.005,36.48,-2.052,36.54,-3.219
4.038,36.51,-1.386,36.53,-2.175
4.071,36.53,-0.690,36.54,-1.082
4.105,36.53,1.172E-2,36.53,1.838E-2
4.138,36.51,0.707,36.51,1.110
4.172,36.50,1.380,36.52,2.166
4.205,36.47,2.007,36.53,3.150
4.238,36.43,2.568,36.52,4.032
4.272,36.40,3.043,36.52,4.779
4.305,36.37,3.412,36.53,5.360
4.338,36.33,3.685,36.52,5.791
4.372,36.32,3.850,36.52,6.050
4.405,36.32,3.884,36.53,6.104
4.439,36.33,3.805,36.53,5.979
4.472,36.36,3.610,36.54,5.671
4.505,36.38,3.298,36.53,5.180
4.539,36.43,2.883,36.54,4.526
4.572,36.46,2.379,36.53,3.734
4.605,36.49,1.790,36.53,2.808
4.639,36.52,1.140,36.54,1.789
4.672,36.53,0.456,36.53,0.716
4.706,36.53,-0.242,36.53,-0.380
4.739,36.52,-0.938,36.54,-1.472
4.772,36.50,-1.628,36.54,-2.553
4.806,36.47,-2.273,36.54,-3.566
4.839,36.43,-2.872,36.55,-4.507
4.872,36.39,-3.391,36.55,-5.324
4.906,36.34,-3.822,36.55,-6.003
4.939,36.31,-4.139,36.54,-6.504
4.973,36.29,-4.341,36.55,-6.820
5.006,36.28,-4.434,36.55,-6.968
5.039,36.28,-4.402,36.54,-6.919
5.073,36.29,-4.258,36.54,-6.692
5.106,36.32,-3.995,36.54,-6.278
5.139,36.37,-3.633,36.55,-5.705
5.173,36.40,-3.178,36.54,-4.991
5.206,36.43,-2.636,36.53,-4.138
5.239,36.48,-2.015,36.53,-3.161
5.273,36.50,-1.367,36.53,-2.144
5.306,36.53,-0.686,36.54,-1.076
5.340,36.53,2.880E-3,36.53,4.517E-3
5.373,36.51,0.681,36.51,1.069
5.406,36.49,1.344,36.52,2.110
5.440,36.48,1.955,36.53,3.068
5.473,36.44,2.506,36.52,3.934
5.506,36.41,2.963,36.53,4.654
5.540,36.37,3.335,36.52,5.238
5.573,36.34,3.608,36.52,5.670
5.607,36.32,3.759,36.52,5.909
5.640,36.33,3.801,36.53,5.973
5.673,36.34,3.725,36.53,5.853
5.707,36.36,3.526,36.53,5.538
5.740,36.38,3.224,36.53,5.064
5.773,36.43,2.820,36.53,4.427
5.807,36.46,2.326,36.53,3.651
5.840,36.49,1.749,36.53,2.745
5.874,36.52,1.110,36.53,1.741
5.907,36.53,0.438,36.53,0.686
5.940,36.53,-0.246,36.53,-0.386
5.974,36.53,-0.929,36.54,-1.456
6.007,36.51,-1.608,36.54,-2.522
6.040,36.49,-2.244,36.55,-3.519
6.074,36.44,-2.832,36.55,-4.444
6.107,36.41,-3.334,36.56,-5.232
6.141,36.36,-3.755,36.56,-5.895
6.174,36.32,-4.073,36.55,-6.399
6.207,36.30,-4.272,36.56,-6.711
6.241,36.29,-4.365,36.55,-6.859
6.274,36.29,-4.335,36.55,-6.812
6.307,36.31,-4.192,36.55,-6.586
6.341,36.33,-3.939,36.54,-6.188
6.374,36.36,-3.580,36.54,-5.623
6.408,36.40,-3.131,36.54,-4.917
6.441,36.44,-2.592,36.53,-4.069
6.474,36.48,-1.996,36.53,-3.132
6.508,36.50,-1.354,36.53,-2.124
6.541,36.53,-0.678,36.54,-1.064
6.574,36.52,-3.365E-3,36.52,-5.280E-3
6.608,36.50,0.664,36.51,1.043
6.641,36.50,1.308,36.52,2.053
6.675,36.48,1.910,36.53,2.997
6.708,36.44,2.450,36.52,3.846
6.741,36.41,2.903,36.53,4.558
6.775,36.38,3.264,36.53,5.127
6.808,36.36,3.519,36.53,5.528
6.841,36.34,3.676,36.53,5.776
6.875,36.34,3.703,36.53,5.819
