t,x,y,r,θr
1.635,32.77,16.12,36.52,26.20
1.669,33.18,15.31,36.54,24.76
1.702,33.74,14.00,36.53,22.54
1.735,34.38,12.28,36.51,19.66
1.769,35.06,10.20,36.51,16.22
1.802,35.67,7.773,36.51,12.29
1.835,36.15,5.082,36.51,8.003
1.869,36.44,2.204,36.51,3.461
1.902,36.51,-0.705,36.52,-1.106
1.936,36.34,-3.642,36.52,-5.724
1.969,35.94,-6.431,36.51,-10.15
2.002,35.39,-8.998,36.52,-14.27
2.036,34.73,-11.26,36.51,-17.96
2.069,34.05,-13.17,36.51,-21.14
2.102,33.41,-14.68,36.49,-23.72
2.136,32.90,-15.77,36.48,-25.62
2.169,32.55,-16.45,36.47,-26.81
2.203,32.41,-16.71,36.46,-27.28
2.236,32.47,-16.56,36.45,-27.02
2.269,32.74,-16.00,36.44,-26.04
2.303,33.20,-15.03,36.45,-24.36
2.336,33.79,-13.67,36.45,-22.03
2.369,34.45,-11.95,36.46,-19.13
2.403,35.09,-9.883,36.46,-15.73
2.436,35.67,-7.523,36.45,-11.91
2.470,36.12,-4.928,36.46,-7.769
2.503,36.39,-2.144,36.46,-3.371
2.536,36.45,0.611,36.46,0.960
2.570,36.30,3.436,36.46,5.408
2.603,35.94,6.105,36.45,9.641
2.636,35.44,8.588,36.46,13.62
2.670,34.84,10.81,36.47,17.23
2.703,34.21,12.69,36.49,20.35
2.737,33.62,14.22,36.50,22.92
2.770,33.14,15.34,36.52,24.85
2.803,32.81,16.05,36.53,26.07
2.837,32.69,16.33,36.54,26.54
2.870,32.78,16.18,36.56,26.27
2.903,33.06,15.58,36.55,25.24
2.937,33.51,14.56,36.54,23.48
2.970,34.09,13.11,36.53,21.04
3.004,34.75,11.27,36.53,17.96
3.037,35.38,9.060,36.52,14.36
3.070,35.92,6.544,36.51,10.32
3.104,36.30,3.810,36.50,5.992
3.137,36.47,0.907,36.49,1.425
3.170,36.44,-1.926,36.49,-3.026
3.204,36.19,-4.788,36.50,-7.536
3.237,35.72,-7.449,36.48,-11.78
3.270,35.13,-9.845,36.48,-15.66
3.304,34.48,-11.91,36.48,-19.06
3.337,33.84,-13.62,36.48,-21.93
3.371,33.27,-14.94,36.47,-24.19
3.404,32.83,-15.87,36.46,-25.79
3.437,32.57,-16.35,36.45,-26.66
3.471,32.53,-16.44,36.45,-26.81
3.504,32.69,-16.11,36.44,-26.23
